Account,date,n_trades,volume_usd,avg_trade_size_usd,realized_pnl,fees,n_buy,n_sell,n_realized_trades,win_rate,long_short_ratio,net_pnl_after_fees,classification,sentiment_simple,value
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,26,52028.630000000005,2001.101153846154,3515.031065,5.2028479999999995,0,26,25.0,1.0,0.0,3509.828217,Extreme Greed,Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,46,52066.88,1131.888695652174,0.0,1.4383267,46,0,,,,-1.4383267,Extreme Greed,Greed,78
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,64,54584.72,852.88625,2517.787385,19.104602,0,64,63.0,1.0,0.0,2498.682783,Extreme Greed,Greed,78
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,59,112897.91,1913.523898305085,1613.165903,20.81460217,44,15,15.0,1.0,2.933333333333333,1592.3513008300001,Extreme Greed,Greed,81
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,1,0.11,0.11,0.0,0.0,0,1,,,0.0,0.0,Extreme Greed,Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,34,341740.77999999997,10051.199411764705,1245.51851,119.60926,13,21,21.0,1.0,0.6190476190476191,1125.9092500000002,Greed,Greed,74
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,13,36997.54,2845.9646153846156,0.0,61.51029,13,0,,,,-61.51029,Greed,Greed,61
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,17,41490.68,2440.6282352941175,4493.232479,14.521732,0,17,17.0,1.0,0.0,4478.710747,Extreme Greed,Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,39,84021.26999999999,2154.3915384615384,1047.030992,89.144541,10,29,28.0,1.0,0.3448275862068966,957.886451,Extreme Greed,Greed,77
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,124,272092.55,2194.294758064516,4842.054317,124.96169717000001,43,81,80.0,1.0,0.5308641975308642,4717.09261983,Extreme Greed,Greed,77
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,339,588968.28,1737.369557522124,1693.493165,108.05738221,141,198,198.0,1.0,0.7121212121212122,1585.43578279,Extreme Greed,Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,54,129509.91,2398.331666666667,4221.156399,24.25559825,50,4,4.0,1.0,12.5,4196.900800750001,Extreme Greed,Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,44,66856.49,1519.465681818182,0.0,1.05928092,44,0,,,,-1.05928092,Greed,Greed,71
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,56,73755.74,1317.0667857142857,6899.2458320000005,25.814472,0,56,56.0,1.0,0.0,6873.4313600000005,Greed,Greed,72
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,46,73735.48,1602.9452173913044,0.0,1.16815524,46,0,,,,-1.16815524,Greed,Greed,72
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,55,81107.93000000001,1474.6896363636365,7372.485101,28.387735,0,55,55.0,1.0,0.0,7344.097366,Greed,Greed,70
